,algorithm,QoS,runtime,n_requests,n_served,n_satisfied,n_partial_satisfied
3886,Grd-Ran,31.03074062264778,0.05751991271972656,900,63.0,0,47
3887,Grd-Ran,34.62651403282109,0.06860113143920898,900,71.0,0,50
3888,Grd-Ran,32.9142768862333,0.06615996360778809,900,67.0,0,51
3889,Grd-Ran,26.769164765918152,0.05491304397583008,900,54.0,0,46
3890,Grd-Ran,44.72325278987898,0.0954740047454834,900,91.0,0,67
3891,Grd-Ran,34.03012430435813,0.06177711486816406,900,69.0,0,56
3892,Grd-Ran,39.589894716017824,0.08079385757446289,900,81.0,0,61
3893,Grd-Ran,35.78051931309908,0.06817221641540527,900,74.0,0,52
3894,Grd-Ran,32.27741689732861,0.06644988059997559,900,66.0,0,48
3895,Grd-Ran,36.20415934864987,0.07119989395141602,900,73.0,0,63
3896,Grd-Ran,34.36121999744154,0.060530900955200195,900,70.0,0,56
3897,Grd-Ran,34.305846980232765,0.05841994285583496,900,70.0,0,57
3898,Grd-Ran,30.630690126167494,0.05896306037902832,900,62.0,0,51
3899,Grd-Ran,37.96137651152872,0.06726288795471191,900,77.0,0,60
3900,Grd-Ran,39.772035433765055,0.06659913063049316,1000,81.0,0,64
3901,Grd-Ran,33.14513221698503,0.06711506843566895,1000,67.0,0,61
3902,Grd-Ran,42.76260707561729,0.07573080062866211,1000,87.0,0,72
3903,Grd-Ran,42.601637787247185,0.07785582542419434,1000,86.0,0,75
3904,Grd-Ran,31.87382554573332,0.053177833557128906,1000,64.0,0,62
3905,Grd-Ran,37.5653503461707,0.07546591758728027,1000,76.0,0,57
3906,Grd-Ran,37.524286863490836,0.06440305709838867,1000,76.0,0,63
3907,Grd-Ran,42.476190871472824,0.07617378234863281,1000,86.0,0,72
3908,Grd-Ran,40.92640913416977,0.06937193870544434,1000,83.0,0,68
3909,Grd-Ran,34.6301763411857,0.06617403030395508,1000,70.0,0,58
3910,Grd-Ran,38.78563362935848,0.07822918891906738,1000,79.0,0,64
3911,Grd-Ran,51.02979569863441,0.12426972389221191,1000,104.0,0,74
3912,Grd-Ran,40.284632726761934,0.06683897972106934,1000,82.0,0,63
3913,Grd-Ran,29.226162851109784,0.055112361907958984,1000,60.0,0,44
3914,Grd-Ran,40.83826393364024,0.07666206359863281,1000,83.0,0,62
3915,Grd-Ran,40.866219263070604,0.07886123657226562,1000,84.0,0,56
3916,Grd-Ran,33.441363356771994,0.05809807777404785,1000,68.0,0,52
3917,Grd-Ran,36.636888468607275,0.07570385932922363,1000,75.0,0,55
3918,Grd-Ran,39.05145416543198,0.06357502937316895,1000,79.0,0,65
3919,Grd-Ran,38.94014932083308,0.08158397674560547,1000,79.0,0,66
3920,Grd-Ran,38.39084471159405,0.07305288314819336,1000,78.0,0,62
3921,Grd-Ran,34.092788097809915,0.07488512992858887,1000,69.0,0,58
3922,Grd-Ran,42.88676797177578,0.08001589775085449,1000,87.0,0,69
3923,Grd-Ran,33.88550980973924,0.07491707801818848,1000,69.0,0,57
3924,Grd-Ran,35.254664933196935,0.07641983032226562,1000,71.0,0,60
3925,Grd-Ran,46.884653896008906,0.10712599754333496,1000,95.0,0,74
3926,Grd-Ran,42.02939483695299,0.09169793128967285,1000,86.0,0,65
3927,Grd-Ran,43.290164159700105,0.08399415016174316,1000,88.0,0,72
3928,Grd-Ran,32.31267346381835,0.06331396102905273,1000,66.0,0,49
3929,Grd-Ran,42.851087924238264,0.0779869556427002,1000,88.0,0,63
3930,Grd-Ran,41.57434509703879,0.08084511756896973,1000,84.0,0,68
